document_id,views,depth,full_reads_percent
61f9569a9a794794245a82abJ0AvX96vTAaQCiWVbzoMdw,16836.623,1.159813833333333,36.214943666666656
628c22b89a79470e553f594bQS5CqzXYRnmDdR2LaSreEw,17923.35,1.055110000000001,28.672109999999993
627cb3249a7947ebdd752865XVsoyrUOT8OJJg2_finJhw,7433.62,1.0630100000000002,32.776149999999994
628618629a7947d4927eb812upfii3whSSuMXCqcqF8VbQ,4267.326666666666,1.0626666666666664,35.02194666666665
620e76109a7947235623695b5hzCiIHdSYKQIr8WAM18bw,426291.74,1.2146400000000004,28.140990000000002
6267e9d39a79470f677fb6fajv_4Eb5ZQtip4IbvDqDuKw,15358.37,1.0448400000000009,25.780319999999993
624925809a79476c4461de30m1RFLN6XSPyEGdKhDO5nyA,61670.1,1.1435500000000003,29.28054000000001
6239e4a39a7947e926f82194t8mN2pE6R4mAGowkxvegNw,62969.37,1.1315899999999997,33.38212000000001
628a1a4e9a794771555c208bICJ13mlxTMehQcRuqtV6YA,3084.75,1.0630800000000005,36.60429
626a5b0a9a7947627960acd0TdQDl3OoSMO5YuE7-m19eQ,5217.87,1.0529700000000004,36.11241000000001
62528e479a7947535bdc6788c7U4L8VHQpuUFFaNED_q6g,10885.72,1.059250000000001,30.764779999999977
62612fe59a794783a68ada9e3TF3JpJGQJClbuUHy44UYw,20080.93,1.0567500000000007,32.69476
628cd9159a7947555da62ab1-m51bvtFS_yzCf2pq7lLQQ,7020.27,1.0521800000000001,27.86615
626e410e9a79471452f15e8eZ_d1-CbUQX2PIBrowzH5OQ,11770.25,1.0537900000000002,44.12243999999996
624e87269a79479dd1977cc3v9cI_OAYQ8-5gqePHxVMpw,47311.59,1.1440299999999999,33.52045999999999
628b8ab29a7947e00f67dcdaNlcWeEm_RlanbLAGB-qShw,29802.98,1.055870000000001,27.66947
628ccf899a79474f5151d0c3HZKtUGp9SHiIpympsFuOrw,8688.73,1.05663,27.092169999999996
6249f7529a79479eb947fa1ehoBzMDQFT6mqValZu1Nr6g,22568.03,1.1606699999999996,38.167849999999994
6203bbc19a7947fb724902a8BhjQOV86Qa6ER9s4eK4Mpw,14081.27,1.1531499999999995,37.38172999999998
620e3f2a9a7947868328f19f5hzCiIHdSYKQIr8WAM18bw,20613.4,1.13849,26.323889999999984
620d18729a7947215abb84989JBgpzWFSNiMniLAH8SZaQ,16918.726666666666,1.143246666666667,31.767046666666673
62937ab39a79475bb0821d13J6FV1xLkRbah3nyuod_sYw,7117.45,1.0542600000000006,29.84122000000001
623c39239a79472f1993960eMljwbh4gQuKeIA6eblcfGQ,206927.35,1.1468500000000001,29.178919999999984
620f3e089a79475b34ade039KtVJsteHStO5oditt3Uvzw,36878.51,1.1405,27.302169999999993
6202a73f9a79479b15f9b967g4_nokAoRvaMeR66cEHVXg,52367.41,1.14722,30.99105000000001
62051c4d9a79477c4a88100dvDi5_j0PQVCaKj2UJf9_gw,54536.98,1.1815599999999997,27.410559999999982
620dfa929a79476189b0d2c4ZnPUfntARbaIIPZcQcvL1A,13892.4,1.1608199999999997,32.42269999999999
620223d99a7947592e5b2287uc9l9VjjTuW6KZZBme45rg,23163.6,1.1435100000000002,31.073970000000013
620b6a7c9a794760c377c0549UuC_nw7SPu6DKHQzdxp1A,17464.03,1.1668500000000008,33.085260000000005
62058ec59a79471f398a053b_kwPlPE5QqWP4vZwrzwALQ,74726.03,1.1394000000000002,33.71371999999999
6282c24c9a79473846c46ebam_USFkdETtGZH6Fds7rRiA,34999.31,1.0549400000000007,25.700110000000016
629393009a794760730dff20Ty7cfynLQayiZQcjCFMVLA,2148.13,1.059380000000001,38.10243999999998
624d79399a794748b2cab87dRbm1v5M-RIOc8TNT_xKCww,61221.57,1.1333499999999996,32.99072
626019089a794728f3c79697TIUG7LZwRkeqT7WiusfZtw,20683.71,1.0563800000000008,29.515460000000004
6273f7009a7947233556d310MaUWXeXtSk6fnmVlyIDA3A,36075.77,1.0496800000000004,25.53867000000001
623fe1149a794770821f4eaefI8XS2MXRyaNdNuJJW9VjA,177064.32,1.1252700000000002,36.45347
6281efae9a7947e34439115eVnTuAVljQ7SgKfOfKu57jQ,7964.89,1.0673300000000003,31.999060000000007
627ebb289a79472e34d01ad38y6hKoMJS_aNkvNKR0-gvQ,24916.68,1.0610299999999997,30.26739000000001
625063979a79475de1f2072eTFz94N9QSYykYjDrMSdb7A,15640.92,1.1123599999999998,37.58825999999997
6242cf239a7947543933376668sKFyOSTDi9g_65WIh5iw,575337.56,1.13714,33.789689999999986
61faf6249a7947274188db22GZZD1toCRFaHFkr3HdMKWg,21838.86,1.16526,37.88491999999997
6268e7489a79475c88d44ceaMPuwsLe1QT2F7YDXc66p4w,11058.89,1.05092,27.12532000000001
6267abd89a7947ee8a9d53e16BBdcn0xRdCra7S60-tMHQ,16532.54,1.0496599999999994,31.582240000000002
624482489a79477d4f12aab6NvqeFzbPRfimwSLlGfHvuA,198738.72,1.1303200000000002,33.28952
61ff71df9a79470d13893f343PXO3SCcSy2Zav_6ejoYsQ,12637.98,1.1561000000000001,31.602209999999985
6261c55c9a7947bf215d147a5Lcy3mDcSV2Bffoiv6tvEQ,4987.81,1.0542299999999991,41.54464
61f898359a79473e96d0784cy0A9bEXUQ722-0fIdbb7qQ,18079.958,1.1584529999999995,35.84051199999999
6258037e9a7947a9e8a99498S1y9xzR8TJWIMfMonDbQEQ,11039.66,1.0624299999999993,28.354110000000002
625117b89a7947867f461f09mbd7f55-TMi1CcYjcDqsog,145796.44,1.1136299999999997,30.74500999999999
